#;ISO;EN_country;Sco15;Diff sco14;Diff;Abuses score;Underlying situation score;Situation;EN_zone;ES_country;FR_Country;FR_zone;ES_zone;;;;;;
66;BIH;Bosnia and Herzegovina;27,51;-0,65;"0 (66 ; 26,86)";30,91;26,66;Noticeable problems;European Union & the Balkans;Bosnia-Herzegovina;Bosnie-Herzégovine;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
67;SRB;Serbia;27,66;-2,61;"-13 (54 ; 25,05)";35,84;25,62;Noticeable problems;European Union & the Balkans;Serbia;Serbie;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
68;MUS;Mauritius;27,69;-;"+2 (70 ; 27,69)";;27,69;Noticeable problems;Africa;Mauricio;Maurice;Afrique;África;;;;;;
69;GEO;Georgia;27,7;2,08;"+15 (84 ; 29,78)";23,98;27,7;Noticeable problems;Eastern Europe & Central Asia;Georgia;Géorgie;Europe de l'Est & Asie centrale;Europa del Este y Asia central;;;;;;
70;HKG;Hong Kong;27,76;-1,21;"-9 (61 ; 26,55)";21,97;27,76;Noticeable problems;Asia-Pacific;Hong Kong;Hong-Kong;Asie-Pacifique;Asia y el Pacífico;;;;;;
71;SEN;Senegal;27,77;-1,09;"-9 (62 ; 26,68)";13,86;27,77;Noticeable problems;Africa;Senegal;Sénégal;Afrique;África;;;;;;
72;MDA;Republic of Moldova;27,85;-2,5;"-16 (56 ; 25,35)";34,34;26,23;Noticeable problems;Eastern Europe & Central Asia;Moldavia;Moldavie;Europe de l'Est & Asie centrale;Europa del Este y Asia central;;;;;;
73;ITA;Italy;27,94;-4,19;"-24 (49 ; 23,75)";43,31;24,09;Noticeable problems;European Union & the Balkans;Italia;Italie;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
74;NIC;Nicaragua;27,94;-0,24;"-3 (71 ; 27,7)";28,90;27,7;Noticeable problems;Americas;Nicaragua;Nicaragua;Amériques;Amériques;;;;;;
75;TZA;United Republic Of Tanzania;28,09;-0,79;"-6 (69 ; 27,3)";10,99;28,09;Noticeable problems;Africa;Tanzania;Tanzanie;Afrique;África;;;;;;
76;NCYP;Cyprus North;28,33;1,21;"+7 (83 ; 29,54)";;28,33;Noticeable problems;European Union & the Balkans;Chipre Norte;Chypre (partie Nord);Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
77;LSO;Lesotho;28,36;-;"-3 (74 ; 28,36)";;28,36;Noticeable problems;Africa;Lesoto;Lesotho;Afrique;África;;;;;;
78;ARM;Armenia;28,43;0,64;"0 (78 ; 29,07)";20,79;28,43;Noticeable problems;Eastern Europe & Central Asia;Armenia;Arménie;Europe de l'Est & Asie centrale;Europa del Este y Asia central;;;;;;
79;SLE;Sierra Leone;28,47;-0,24;"-7 (72 ; 28,23)";29,44;28,23;Noticeable problems;Africa;Sierra Leona;Sierra Leone;Afrique;África;;;;;;
80;TGO;Togo;28,5;0,5;"-4 (76 ; 29)";17,92;28,5;Noticeable problems;Africa;Togo;Togo;Afrique;África;;;;;;
81;GNB;Guinea-Bissau;28,7;1,35;"+5 (86 ; 30,05)";;28,7;Noticeable problems;Africa;Guinea-Bisáu;Guinée-Bissau;Afrique;África;;;;;;
82;ALB;Albania;28,77;1,15;"+3 (85 ; 29,92)";21,97;28,77;Noticeable problems;European Union & the Balkans;Albania;Albanie;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
83;PAN;Panama;28,98;1,22;"+4 (87 ; 30,2)";;28,98;Noticeable problems;Americas;Panamá;Panama;Amériques;Amériques;;;;;;
84;BEN;Benin;29,24;-0,41;"-9 (75 ; 28,83)";6,93;29,24;Noticeable problems;Africa;Benín;Bénin;Afrique;África;;;;;;
85;MOZ;Mozambique;29,98;-0,72;"-6 (79 ; 29,26)";19,46;29,98;Noticeable problems;Africa;Mozambique;Mozambique;Afrique;África;;;;;;
86;CIV;Côte d'Ivoire;30,45;1,18;"+15 (101 ; 31,63)";23,98;30,45;Noticeable problems;Africa;Costa de Marfil;Côte d'Ivoire;Afrique;África;;;;;;
87;KOS;Kosovo;30,63;-1,34;"-7 (80 ; 29,29)";21,97;30,63;Noticeable problems;European Union & the Balkans;Kosovo;Kosovo;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
88;KGZ;Kyrgyzstan;30,69;0,55;"+9 (97 ; 31,24)";19,46;30,69;Noticeable problems;Eastern Europe & Central Asia;Kirguistán;Kirghizstan;Europe de l'Est & Asie centrale;Europa del Este y Asia central;;;;;;
89;LBR;Liberia;30,78;-0,13;"0 (89 ; 30,65)";20,79;30,78;Noticeable problems;Africa;Liberia;Liberia;Afrique;África;;;;;;
90;KWT;Kuwait;30,84;-0,13;"+1 (91 ; 30,71)";31,35;30,71;Noticeable problems;Middle East & North Africa;Kuwait;Koweït;Moyen-Orient & Afrique du Nord;Oriente Medio y África del Norte;;;;;;
91;GRC;Greece;31,01;0,32;"+8 (99 ; 31,33)";13,86;31,01;Noticeable problems;European Union & the Balkans;Grecia;Grèce;Union européenne & Balkans;Unión Europea y los Balcanes;;;;;;
92;PER;Peru;31,21;0,49;"+12 (104 ; 31,7)";37,38;29,67;Noticeable problems;Americas;Peru;Pérou;Amériques;Amériques;;;;;;
93;FJI;Fiji;31,28;1,29;"+14 (107 ; 32,57)";6,93;31,28;Noticeable problems;Asia-Pacific;Fiyi;Fidji;Asie-Pacifique;Asia y el Pacífico;;;;;;
94;BOL;Bolivia;31,29;-0,25;"0 (94 ; 31,04)";35,55;30,22;Noticeable problems;Americas;Bolivia;Bolivie;Amériques;Amériques;;;;;;
95;GAB;Gabon;31,38;-0,06;"+3 (98 ; 31,32)";26,39;31,38;Noticeable problems;Africa;República Gabonesa;Gabon;Afrique;África;;;;;;
96;SYC;Seychelles;31,55;0,13;"+7 (103 ; 31,68)";;31,55;Noticeable problems;Africa;Seychelles;Seychelles;Afrique;África;;;;;;
97;UGA;Uganda;31,65;1,64;"+13 (110 ; 33,29)";37,61;30,16;Noticeable problems;Africa;Uganda;Ouganda;Afrique;África;;;;;;
98;LBN;Lebanon;31,81;0,08;"+8 (106 ; 31,89)";23,98;31,81;Noticeable problems;Middle East & North Africa;Líbano;Liban;Moyen-Orient & Afrique du Nord;Oriente Medio y África del Norte;;;;;;
99;BRA;Brazil;31,93;2,1;"+12 (111 ; 34,03)";56,56;25,77;Noticeable problems;Americas;Brasil;Brésil;Amériques;Amériques;;;;;;
100;KEN;Kenya;32,07;-1,37;"-10 (90 ; 30,7)";34,66;31,42;Noticeable problems;Africa;Kenia;Kenya;Afrique;África;;;;;;
101;ISR;Israel;32,09;-0,9;"-5 (96 ; 31,19)";54,55;26,47;Noticeable problems;Middle East & North Africa;Israel;Israël;Moyen-Orient & Afrique du Nord;Oriente Medio y África del Norte;;;;;;
102;GIN;Guinea;32,56;-0,89;"0 (102 ; 31,67)";56,20;26,65;Noticeable problems;Africa;Guinea;Guinée;Afrique;África;;;;;;
103;TLS;Timor-Leste;32,63;-3,59;"-26 (77 ; 29,04)";;32,63;Noticeable problems;Asia-Pacific;Timor Oriental;Timor-Leste;Asie-Pacifique;Asia y el Pacífico;;;;;;
104;BTN;Bhutan;32,65;-1,92;"-12 (92 ; 30,73)";;32,65;Noticeable problems;Asia-Pacific;Bután;Bhoutan;Asie-Pacifique;Asia y el Pacífico;;;;;;
105;NPL;Nepal;32,71;3,45;"+15 (120 ; 36,16)";42,48;30,27;Noticeable problems;Asia-Pacific;Nepal;Népal;Asie-Pacifique;Asia y el Pacífico;;;;;;
